date,strategy_return,buy_hold_return,mean_position,trades,strategy_equity,buy_hold_equity
2024-01-02,-0.010668042705515024,-0.009668042705515023,1.0,9.0,0.989331957294485,0.990331957294485
2024-01-03,-0.0053535523045566726,-0.0053535523045566726,1.0,0.0,0.9840355169145395,0.9850301633622349
2024-01-04,0.004400141607781078,0.004400141607781078,1.0,0.0,0.9883654125360495,0.9893644355689645
2024-01-05,0.026621139990709156,0.026621139990709156,1.0,0.0,1.0146768265451467,1.0157024447100749
2024-01-08,-0.0026103477494114655,-0.0006131115500754353,0.8888888888888888,1.0,1.0120281671745945,1.0150797058097831
2024-01-09,0.008856957499224006,0.008968068610335118,1.0,1.0,1.0209916576392777,1.024183010256444
2024-01-10,-0.0001550611787207353,0.00036714899973685117,0.7777777777777778,2.0,1.02083334146938,1.0245590380242071
2024-01-11,-0.004267435340279303,-0.00404521311805708,1.0,2.0,1.0164770011914581,1.0204144783633677
2024-01-12,0.004627257405344778,0.002652581362181309,0.8888888888888888,1.0,1.021180501922584,1.0231212107903744
2024-01-16,-0.007272071911231211,-0.009333621097404605,0.7777777777777778,3.0,1.0137544038782558,1.0135717850721393
2024-01-17,0.013774757303001003,0.013996979525223226,1.0,2.0,1.027718624756527,1.027758728595138
2024-01-18,0.020496745321599077,0.020496745321599077,1.0,0.0,1.0487835116704258,1.0488244375072031
2024-01-19,0.00045633179136207584,0.00045633179136207584,1.0,0.0,1.0492621049290576,1.0493030494415951
2024-01-22,0.004097242724709349,0.004097242724709349,1.0,0.0,1.0535611864547916,1.0536022987269351
2024-01-23,0.007298533357451589,0.007298533357451589,1.0,0.0,1.061250637918248,1.0612920502496812
2024-01-24,-0.006410387036957066,-0.006410387036957066,1.0,0.0,1.0544476105859746,1.054488757448335
2024-01-25,-0.01513125129417994,-0.01513125129417994,1.0,0.0,1.0384924988136506,1.0385330230724967
2024-01-26,0.01462994170607965,0.01462994170607965,1.0,0.0,1.0536855835334953,1.0537267006598858
2024-01-29,-0.010625004379268586,-0.010779878762437602,0.8888888888888888,1.0,1.0424901695940798,1.042367654578029
2024-01-30,-0.023815819803889336,-0.023704708692778225,1.0,1.0,1.017662411567701,1.0176586329754824
2024-01-31,0.012479124111153976,0.012479124111153976,1.0,0.0,1.0303619471049106,1.0303581213591708
2024-02-01,0.015182547739738976,0.037868829635148975,0.8888888888888888,1.0,1.0460054665560412,1.0693765775201134
2024-02-02,0.0028550361678005474,-0.00164843571442551,0.7777777777777778,1.0,1.048991849994776,1.067613778977559
2024-02-05,-0.0012979121911544562,-0.0027418438714768133,0.8888888888888888,3.0,1.047630350684246,1.0646865486805652
2024-02-06,0.006983954072570587,0.013457069518876362,0.6666666666666666,4.0,1.0549469529384559,1.079014109581972
2024-02-07,-0.0010564756543192972,-0.0013520915364234486,0.7777777777777778,3.0,1.053832427166078,1.0775551837367248
