date,strategy_return,buy_hold_return,mean_position,trades,strategy_equity,buy_hold_equity
2024-01-02,-0.010668014208941368,-0.009668014208941367,1.0,9.0,0.9893319857910586,0.9903319857910586
2024-01-03,-0.005353531448552908,-0.005353531448552908,1.0,0.0,0.984035565892067,0.9850302123606184
2024-01-04,0.004400136170241746,0.004400136170241746,1.0,0.0,0.9883654563783529,0.9893644794268072
2024-01-05,0.02662116592805676,0.02662116592805676,1.0,0.0,1.0146768971901607,1.0157025153969539
2024-01-08,-0.002610385164327248,-0.0006131408484360618,0.8888888888888888,1.0,1.01202819967115,1.0150797466949046
2024-01-09,0.008856963002256468,0.008968074113367579,1.0,1.0,1.0209916959928775,1.024183057094243
2024-01-10,-0.00015508176327118218,0.0003671740058527822,0.7777777777777778,2.0,1.0208333588003777,1.024559110490043
2024-01-11,-0.004267504753403502,-0.00404528253118128,1.0,2.0,1.0164769475892643,1.0204144794182148
2024-01-12,0.004627272985402701,0.0026525878166238576,0.8888888888888888,1.0,1.0211804639091286,1.0231212184342262
2024-01-16,-0.007272050428622421,-0.009333649951304665,0.7777777777777778,3.0,1.0137543880788573,1.0135717631236087
2024-01-17,0.013774872470488154,0.013997094692710377,1.0,2.0,1.0277187254910414,1.0277588230699073
2024-01-18,0.02049669409849613,0.02049669409849613,1.0,0.0,1.0487835618267276,1.0488244812734016
2024-01-19,0.0004563433901191787,0.0004563433901191787,1.0,0.0,1.049262167272833,1.049303105392826
2024-01-22,0.004097238603813403,0.004097238603813403,1.0,0.0,1.0535612447301042,1.0536023505833427
2024-01-23,0.00729851603636284,0.00729851603636284,1.0,0.0,1.061250678370057,1.0612920842350249
2024-01-24,-0.006410371967634992,-0.006410371967634992,1.0,0.0,1.0544476667708,1.0544888072087717
2024-01-25,-0.01513122712943339,-0.01513122712943339,1.0,0.0,1.03849257962879,1.0385330975614504
2024-01-26,0.01462994227325825,0.01462994227325825,1.0,0.0,1.0536856661199663,1.0537267768276426
2024-01-29,-0.010625067394549196,-0.010779941798118524,0.8888888888888888,1.0,1.0424901849047712,1.0423676635023216
2024-01-30,-0.023815767851934462,-0.02370465674082335,1.0,1.0,1.017662480673159,1.017658695841265
2024-01-31,0.012479098967947891,0.012479098967947891,1.0,0.0,1.0303619914854467,1.030358159422261
2024-02-01,0.01518259337807975,0.03786885620147672,0.8888888888888888,1.0,1.0460055586343988,1.0693766443974408
2024-02-02,0.0028549846916934543,-0.0016484730369523322,0.7777777777777778,1.0,1.0489918884917262,1.067613805832805
2024-02-05,-0.0012979346562952904,-0.002741878570920996,0.8888888888888888,3.0,1.0476303655654802,1.0646865384165727
2024-02-06,0.006983983026494019,0.013457098472799793,0.6666666666666666,4.0,1.054946998256629,1.0790141300067089
2024-02-07,-0.0010564523091996204,-0.001352056090864368,0.7777777777777778,3.0,1.0538324970642376,1.0775552423801045
2024-02-08,0.016216972543244414,0.01643919476546664,1.0,2.0,1.0709224697343072,1.0952693828801408
2024-02-09,-0.0006229825047995909,-0.005566944484635868,0.4444444444444444,5.0,1.0702553037716658,1.0891720790299255
2024-02-12,-0.01848857246586856,-0.02012467009903676,0.8888888888888888,4.0,1.0504678110309031,1.0672528502583662
2024-02-13,0.014382521168356206,0.014493632279467317,1.0,1.0,1.0655761865597317,1.0827212206192245
2024-02-14,0.00016003313307470327,0.002794915852700777,0.8888888888888888,1.0,1.0657467140553967,1.0857473353227887
2024-02-15,-0.00800203018653668,-0.010626600558374548,0.7777777777777778,1.0,1.057218576678323,1.0742095320829939
2024-02-16,-0.006042167897051365,-0.0062996248572146675,0.8888888888888888,1.0,1.050830684534151,1.0674424150128268
2024-02-20,0.0008011797618368258,-0.002467456872608261,0.7777777777777778,1.0,1.0516725888117169,1.0648085468897899
2024-02-21,0.03759192071317712,0.03781414293539934,1.0,2.0,1.0912069813865488,1.1050733694807153
2024-02-22,-0.004434667540685531,-0.004312671362161846,0.5555555555555556,4.0,1.0863678412060245,1.1003075512070681
2024-02-23,0.0021419209741019296,0.0019495571860515845,0.8888888888888888,3.0,1.0886947552706934,1.1024526637003906
2024-02-26,0.0001812365358594047,0.004342342166727946,0.5555555555555556,3.0,1.0888920665367467,1.1072398903887983
2024-02-27,-0.00794087911388048,-0.008298778829687659,0.8888888888888888,3.0,1.0802453062683148,1.0980511514270541
2024-02-28,0.011112256577337375,0.012514873484161618,0.8888888888888888,0.0,1.0922492692780328,1.1117931226663016
2024-02-29,0.0012607508651129773,0.014867799955909576,0.5555555555555556,3.0,1.093626323489194,1.1283230404064601
2024-03-01,-0.0054715364996676214,-0.006047350207474193,0.8888888888888888,3.0,1.0876425071432256,1.1214996758339604
2024-03-04,-0.02302415473414389,-0.02184900508479189,0.8888888888888888,2.0,1.062600457763328,1.0969960237140717
2024-03-05,0.003229049470431616,0.0047817475259629184,0.8888888888888888,2.0,1.066031647208749,1.1022415817364575
2024-03-06,0.011591208695252197,0.024485202264010172,0.6666666666666666,2.0,1.078388242507289,1.129230189809077
2024-03-07,-0.00860048368373878,-0.016007153065482543,0.7777777777777778,1.0,1.0691135820228694,1.1111544293146394
2024-03-08,-0.006631513586999625,-0.006409291364777402,1.0,2.0,1.062023740777639,1.104032716825899
2024-03-11,0.012918516071042182,0.022034344950874987,0.7777777777777778,2.0,1.075743511540703,1.1283593545454926
2024-03-12,-0.013603211448201325,-0.015486490380723595,0.6666666666666666,3.0,1.0611099450891843,1.1108850282553244
2024-03-13,-0.005870049964312569,-0.005536716630979235,1.0,3.0,1.0548811766938817,1.1047343726442773
2024-03-14,-0.002126322298177293,-0.005949873617970046,0.7777777777777778,2.0,1.05263815932595,1.0981613427456165
2024-03-15,0.017380872377716856,0.017603094599939077,1.0,2.0,1.0709339288331092,1.1174923807479638
2024-03-18,0.0028975066103140833,0.000990853519837187,0.6666666666666666,3.0,1.0740369669711127,1.1185996520068193
2024-03-19,0.014180834756507936,0.01451416808984127,1.0,3.0,1.0892677077221111,1.1348351953812843
2024-03-20,0.013054303870623403,0.011972490963255355,0.7777777777777778,2.0,1.103487339375173,1.1484219995027707
2024-03-21,0.005960802356891658,0.006606355884472226,0.7777777777777778,4.0,1.1100650093085205,1.1560088839370433
2024-03-22,0.0042825459955599075,0.0031855049366646838,0.8888888888888888,3.0,1.114818913768946,1.159691355943653
2024-03-25,-0.00246999364213813,-0.0006635789205640612,0.8888888888888888,2.0,1.1120653181398013,1.1589218092054885
2024-03-26,0.006541632401848784,0.006652743512959895,1.0,1.0,1.1193400406579168,1.1666318187537081
2024-03-27,-0.004300714221602707,-0.005350743870112844,0.8888888888888888,1.0,1.11452607902625,1.160389470700833
2024-03-28,0.005646751493957571,0.011688155266931602,0.8888888888888888,0.0,1.120819530828046,1.173952283004497
2024-04-01,-0.010559195070315405,-0.010472296104296404,0.7777777777777778,1.0,1.1089845787634132,1.1616583070845592
2024-04-02,-0.0003470676062842484,-0.00012484538406202597,1.0,2.0,1.1085996861402556,1.1615132794070624
2024-04-03,-0.009733678837920534,-0.011997411997590166,0.7777777777777778,2.0,1.097808932835547,1.1475781260533438
2024-04-04,0.0023826195754788554,0.006064627225323909,0.8888888888888888,1.0,1.1004245938890564,1.1545377595997932
2024-04-05,0.0024788690097030785,0.0007742849117151125,0.8888888888888888,0.0,1.1031524023123631,1.1554317007670567
2024-04-08,0.0005318098908095007,0.0032591446190378187,0.8888888888888888,2.0,1.1037390696709832,1.1591974197772772
2024-04-09,-0.007093982641987894,-0.006241909119040311,0.8888888888888888,2.0,1.0959091638694534,1.1519618148320014
2024-04-10,0.02332979409154861,0.02344090520265972,1.0,1.0,1.121476499005569,1.178964842530562
2024-04-11,-0.01588553691192925,-0.021201054860405712,0.6666666666666666,3.0,1.1036612426847547,1.1539695442255822
2024-04-12,-0.01907336271875293,-0.018740029385419594,1.0,3.0,1.0826107114843988,1.1323441210569154
2024-04-15,-0.0034600537005547993,-0.0034600537005547993,1.0,0.0,1.078864820285867,1.128426149590551
2024-04-16,-0.015560183827878875,-0.015560183827878875,1.0,0.0,1.0620774853567876,1.1108676312667365
2024-04-17,-0.011138642588593638,-0.011138642588593638,1.0,0.0,1.050247383846006,1.0984940737588187
2024-04-18,-0.02813303722455587,-0.0326120707268758,0.8888888888888888,1.0,1.020700735101274,1.0626699073323422
2024-04-19,0.008540645847146398,0.008651756958257508,1.0,1.0,1.029418178595696,1.0718638690974358
2024-04-22,0.010213927659993306,0.017809767706228368,0.7777777777777778,2.0,1.0399325814037546,1.0909535156187602
2024-04-23,0.009538905714913596,0.009761127937135818,1.0,2.0,1.0498524002476317,1.1016024524581831
2024-04-24,-0.012131841632258876,-0.006503904140033779,0.8888888888888888,1.0,1.0371157571905805,1.094437735706969
2024-04-25,0.00885737984394567,0.015941348051195084,0.8888888888888888,2.0,1.0463018853941588,1.1118845485722357
2024-04-26,0.0007809109207251003,0.010808875813888267,0.5555555555555556,5.0,1.0471189539628383,1.1239027705771343
2024-04-29,-0.01870383351972091,-0.02453729803521507,0.8888888888888888,3.0,1.027533815372573,1.0963252333328792
2024-04-30,-0.0001005149544520566,-0.0033521654398294253,0.7777777777777778,3.0,1.027430532857923,1.0926501697748878
2024-05-01,0.015131971289114329,0.01621871139408795,0.7777777777777778,4.0,1.0429775821826883,1.110371547533168
2024-05-02,0.017164959086460048,0.021346271023733224,0.8888888888888888,3.0,1.0608802497089491,1.1340738395238532
2024-05-03,0.013959495787392898,0.01864487149311447,0.6666666666666666,4.0,1.0756896030856895,1.1552185005254783
2024-05-06,-0.00018514422292972507,-0.005961846802700288,0.5555555555555556,5.0,1.0754904453700127,1.1483312648017001
2024-05-07,-0.0062446466113072535,-0.004558483967044897,0.7777777777777778,4.0,1.0687743876048394,1.143096615142245
2024-05-08,-0.0021175019395085113,-0.0013433811924262124,0.8888888888888888,1.0,1.066511255766189,1.141561000648337
2024-05-09,-0.0006508897218203444,-0.0004686014900896608,0.8888888888888888,0.0,1.0658170745516051,1.141026063462405
2024-05-10,0.008440192241747104,0.006529236285675218,0.8888888888888888,0.0,1.0748127755553574,1.1484760922388648
2024-05-13,0.007201565887767412,0.011883019882478418,0.7777777777777778,1.0,1.0825531105755333,1.1621234564774903
2024-05-14,0.00917519258319235,0.01156809591369607,0.8888888888888888,1.0,1.0924857438465978,1.175567012085578
2024-05-15,0.0028266424152649547,0.0002643110216596171,0.6666666666666666,2.0,1.0955738103882269,1.1758777274035714
2024-05-16,-0.004262431611326568,-0.002152966175719436,0.8888888888888888,4.0,1.0909040019462866,1.1733461024296896
2024-05-17,0.007089528457792167,0.006588922459793688,0.8888888888888888,2.0,1.098637996912804,1.1810771889171
2024-05-20,0.00771974305537557,0.006649965918118185,0.8888888888888888,2.0,1.107119199959843,1.1889313119700655
2024-05-21,-0.0035450166399652286,-0.007187272970131898,0.8888888888888888,2.0,1.1031944439735606,1.1803861380881997
2024-05-22,-0.004837244228212436,-0.005090081270536586,0.8888888888888888,2.0,1.0978580230168535,1.174377876714716
2024-05-23,0.014863452025202216,0.017943763335752413,0.8888888888888888,2.0,1.1141759830724478,1.1954506354012282
2024-05-24,0.013184146983410059,0.012368916651792109,0.7777777777777778,3.0,1.1288654429986602,1.210237064671838
2024-05-28,-0.006728136359071706,-0.005493437127480886,0.8888888888888888,3.0,1.1212702823671215,1.2035887034477162
2024-05-29,-0.015826919777361392,-0.015715808666250282,1.0,1.0,1.1035240275593576,1.1846733336714717
